,open,high,low,close,volume,value
2023-06-01 09:00:00,36391000.0,41569000.0,32510000.0,40547000.0,126937.889828,4713831266991.776
2023-07-01 09:00:00,40547000.0,41500000.0,37626000.0,37929000.0,91662.9904456,3606874123157.339
2023-08-01 09:00:00,37928000.0,39850000.0,35050000.0,35502000.0,101361.74191215,3810565028708.2026
2023-09-01 09:00:00,35502000.0,36999000.0,34100000.0,36600000.0,86473.17924706,3081110619298.839
2023-10-01 09:00:00,36614000.0,47459000.0,36291000.0,47030000.0,124626.10478009,5189784092343.468
2023-11-01 09:00:00,47030000.0,51323000.0,46203000.0,50586000.0,120322.9848442,5878883838186.924
2023-12-01 09:00:00,50601000.0,61312000.0,50500000.0,57047000.0,161698.35934606,9336691697036.254
2024-01-01 09:00:00,57045000.0,66779000.0,53125000.0,58738000.0,183681.11805115,10904568137554.414
2024-02-01 09:00:00,58730000.0,90000000.0,57804000.0,85910000.0,153573.69289004,11057907148955.336
2024-03-01 09:00:00,85911000.0,105000000.0,85000000.0,100970000.0,255891.18981392,24629801837961.0
2024-04-01 09:00:00,100991000.0,103084000.0,85606000.0,87137000.0,138762.31469243,13288349759095.486
2024-05-01 09:00:00,87152000.0,98150000.0,80005000.0,93740000.0,94045.39266986,8336185073836.19
